,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
4379,600.0,3.0,11.0,0.4,1.0,352,9.0
4380,1000.0,2.0,0.0,1.3,1.0,180,0.0
4381,950.0,2.0,2.0,0.07,5.0,361,0.0
4382,1100.0,2.0,0.0,1.3,4.0,363,0.0
4383,950.0,2.0,5.0,0.18,5.0,356,2.0
4384,250.0,7.0,0.0,1.3,1.0,90,0.0
4385,350.0,1.0,4.0,0.27,1.0,84,2.0
4386,835.0,3.0,1.0,0.04,1.0,90,0.0
4387,250.0,30.0,0.0,1.3,2.0,89,0.0
4388,900.0,1.0,0.0,1.3,1.0,0,0.0
4389,234.0,6.0,1.0,0.12,1.0,180,1.0
4390,500.0,30.0,0.0,1.3,2.0,89,0.0
4391,450.0,1.0,13.0,4.81,28.0,344,13.0
4392,700.0,1.0,0.0,1.3,1.0,0,0.0
4393,406.0,1.0,82.0,3.15,7.0,364,26.0
4394,1500.0,1.0,0.0,1.3,1.0,178,0.0
4395,385.0,1.0,10.0,0.47,7.0,343,8.0
4396,1063.0,1.0,10.0,0.36,12.0,291,2.0
4397,406.0,1.0,1.0,0.05,1.0,179,0.0
4398,1063.0,1.0,5.0,0.24,12.0,292,4.0
4399,330.0,3.0,17.0,0.62,2.0,355,8.0
4400,550.0,3.0,3.0,0.21,1.0,0,2.0
4401,1217.0,3.0,0.0,1.3,1.0,362,0.0
4402,450.0,3.0,0.0,1.3,1.0,86,0.0
4403,496.0,3.0,18.0,1.48,1.0,347,18.0
4404,350.0,1.0,2.0,0.13,1.0,140,0.0
4405,300.0,1.0,1.0,0.04,1.0,171,0.0
4406,300.0,1.0,0.0,1.3,2.0,0,0.0
4407,344.0,1.0,41.0,1.55,4.0,271,19.0
4408,900.0,1.0,0.0,1.3,1.0,0,0.0
4409,260.0,1.0,38.0,1.4,4.0,202,23.0
4410,330.0,2.0,4.0,0.15,1.0,184,0.0
