id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13309325,One-bedroom apartment in Recoleta's heart.,75202515,Leandro,,Recoleta,-34.58889,-58.39539,Entire home/apt,3081,5,17,2020-03-30,0.32,1,172,0,
13891307,COZY APARTAMENT IN THE BEAUTIFULL CITY,82269639,Monica,,Balvanera,-34.60084,-58.39953,Entire home/apt,8010,3,0,,,1,0,0,
12931023,Departamentos Av. Corrientes 1438,70823870,Olga,,San Nicolas,-34.60499,-58.38594,Entire home/apt,6162,4,2,2017-07-30,0.03,1,358,0,
13896048,Lounge on the Ruby Velvet Couch at a Period Paradise,67060443,Gabriel,,Recoleta,-34.59757,-58.39048,Entire home/apt,11777,2,73,2022-06-20,1.67,1,204,38,
13312866,Habitación individual. Cómoda y luminosa.,78907,Graciela Mónica,,Almagro,-34.59932,-58.4221,Private room,2465,3,8,2017-10-09,0.11,1,363,0,
13313365,DEPTO NUEVO TOTALMENTE EQUIPADO EN BELGRANO,74883954,Martin,,Belgrano,-34.56073,-58.46369,Entire home/apt,4000,2,50,2022-06-20,0.69,2,1,12,
12931914,"Privado,luminoso y cómodo!",69098574,Roxy,,Palermo,-34.59548,-58.42208,Entire home/apt,3086,2,29,2020-03-17,0.39,8,10,0,
13903353,Comodo Studio en Palermo Hollywood,24080313,Elida,,Chacarita,-34.5865,-58.44204,Entire home/apt,3026,2,12,2018-12-22,0.17,2,238,0,
12941531,Apartamento en Palermo c/ Amenities,55553719,For Rent Argentina,,Palermo,-34.58195,-58.42429,Entire home/apt,5792,3,5,2019-09-09,0.08,118,303,0,
13313444,Departamento Estudio en Centro de BA,1248625,Natalia,,San Nicolas,-34.60176,-58.37704,Entire home/apt,4084,1,9,2022-06-15,2.84,1,352,9,
13317118,Soñado Studio en Recoleta!,31035769,Yanina,,Retiro,-34.58798,-58.38337,Entire home/apt,3697,7,8,2022-06-04,0.11,3,178,3,
12948830,Palermo Soho Studio / Very Cosy Design,319901,Ralf,,Palermo,-34.58313,-58.42428,Entire home/apt,7394,4,13,2019-10-19,0.19,24,209,0,
12950892,Epico Recoleta Hotel - Standard room,71150934,Epico Recoleta,,Recoleta,-34.58921,-58.40032,Hotel room,9049,3,3,2019-08-01,0.04,4,360,0,
