id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42452908,Perfecta suite en la mejor ubicación,91265490,HOMi,,Cuauhtémoc,19.43249,-99.16877,Entire home/apt,1054,1,174,2022-06-11,6.14,109,331,93,
42458791,Decent Clean Quiet Peaceful Room,68914784,Jorge,,Miguel Hidalgo,19.4033,-99.17478,Private room,550,1,2,2022-06-11,2,1,89,2,
42362349,Beautiful Coyoacan traditional house.,191199975,Laura,,Coyoacán,19.34677,-99.16603,Entire home/apt,1576,5,6,2022-05-30,0.25,2,268,2,
42364079,Lindo departamento Roma norte,218123143,Ingrid Otilia,,Cuauhtémoc,19.42487,-99.16226,Entire home/apt,3000,3,0,,,2,89,0,
42364099,Private green terrace at cozy duplex. ROMA’s heart,10764020,Mr. W,,Cuauhtémoc,19.419537,-99.158577,Entire home/apt,2746,1,21,2022-06-14,0.74,170,162,16,
42233297,Rento departamento a grupos de 6 maximo 8 personas,122370528,Adrana,,Tlalpan,19.29105,-99.1781,Entire home/apt,750,8,0,,,1,363,0,
42234735,San Lorenzo Olivos Constitución c Estacionamiento,321717003,Cesar,,Iztapalapa,19.31816,-99.04591,Entire home/apt,259,1,12,2022-05-02,0.43,11,365,5,
42469658,Suite Ejecutiva céntrica colonia Del Valle,125876021,Alberto,,Benito Juárez,19.39858,-99.16218,Entire home/apt,559,2,20,2021-12-12,0.71,4,174,4,
42375695,HABITACIÓN CLAVEL,217771954,Ana,,Tlalpan,19.29006,-99.15737,Private room,450,2,2,2021-02-08,0.07,4,172,0,
42469814,Roof in Roma,338153421,Alejandro,,Cuauhtémoc,19.40548,-99.16313,Entire home/apt,1333,3,57,2022-06-19,2.04,1,219,39,
42377254,Centric and practical CDMX,210719888,Isaac,,Benito Juárez,19.40312,-99.14373,Entire home/apt,789,3,2,2022-03-17,0.07,5,194,1,
42248757,Departamento CDMX - Exelente Hubicacion -,335613272,Maria,,Benito Juárez,19.39099,-99.14508,Entire home/apt,574,1,41,2022-06-18,1.47,2,313,34,
42471895,Loft con roof garden.,327407825,Karla,,Benito Juárez,19.3817,-99.18977,Entire home/apt,1300,3,25,2021-11-09,0.89,1,88,3,
42248912,"Bonito privado é independiente Loft, San Jerónimo",10759765,Juan Pablo,,La Magdalena Contreras,19.31666,-99.2259,Entire home/apt,390,2,19,2022-06-08,0.67,1,47,8,
42250678,"Amazing 2BDRM Apartment in Xola Narvarte, CDMX",332120390,Main,,Benito Juárez,19.39687,-99.16333,Entire home/apt,1402,1,36,2022-05-29,1.27,4,316,18,
42377927,#1 Modern Apt. in the heart of the City,138812396,Citlali,,Cuauhtémoc,19.42903,-99.15414,Entire home/apt,1699,2,14,2022-06-05,0.50,1,359,13,
42379861,"Best view in Condesa!! vigilancia, 150MB",11524113,Marcos,,Cuauhtémoc,19.40644,-99.17684,Entire home/apt,1327,2,31,2022-06-09,1.12,5,23,30,
42472226,DEPARTAMENTO A 10 MIN CENTRO HISTORICO,117816351,Diana,,Cuauhtémoc,19.41723,-99.13962,Entire home/apt,10000,2,0,,,1,90,0,
